survey,variable,year,quarter,n,mean,median,sd,iqr
us,CPI10,2023,1,28,2.440182142857143,2.37,0.3470551072194299,0.3999999999999999
us,CPI10,2023,2,28,2.405975,2.3554500000000003,0.23374377809108907,0.2999999999999998
us,CPI10,2023,3,28,2.416871428571429,2.4,0.30372695444616504,0.3999999999999999
us,CPI10,2023,4,25,2.4318,2.4,0.25899239853709993,0.26000000000000023
us,CPI10,2024,1,27,2.2595444444444444,2.24,0.19387138149841138,0.2899999999999996
us,CPI10,2024,2,28,2.4125964285714288,2.325,0.2536670119462431,0.2825000000000002
us,CPI10,2024,3,27,2.289896296296296,2.3,0.2093030017085673,0.24384999999999968
us,CPI10,2024,4,26,2.273942307692308,2.225,0.1864572061853913,0.21327500000000033
us,CPI10,2025,1,31,2.3811,2.3,0.2996486631595965,0.2999999999999998
us,CPI10,2025,2,29,2.416803448275862,2.3492,0.17518116843256587,0.25
us,CPI10,2025,3,28,2.4078464285714283,2.3049999999999997,0.320264942962036,0.3849999999999998
us,CPI10,2025,4,26,2.403153846153846,2.38,0.31548182607658304,0.2999999999999998
us,CPI10,2026,1,27,2.3416814814814817,2.3,0.22186958580529487,0.2999999999999998
us,CPI10,2026,2,26,2.470596153846154,2.4,0.29865137331781244,0.380525
us,CPI10,2026,3,25,2.429352,2.3,0.2607705602632322,0.30000000000000027
us,PCE10,2007,1,42,2.1197809523809523,2.0,0.38514142555315917,0.3999999999999999
us,PCE10,2007,2,47,2.2178723404255316,2.0,0.4079798384309481,0.3999999999999999
us,PCE10,2007,3,42,2.2114285714285713,2.1,0.41481451293243443,0.5375000000000001
us,PCE10,2007,4,43,2.1753372093023255,2.1,0.394085601060804,0.5002499999999999
us,PCE10,2008,1,41,2.246965853658536,2.2,0.4351526718346999,0.3999999999999999
us,PCE10,2008,2,38,2.275,2.2,0.4695584469851811,0.3999999999999999
us,PCE10,2008,3,36,2.248888888888889,2.2,0.4633590263516912,0.3999999999999999
us,PCE10,2008,4,43,2.308372093023256,2.2,0.5748247361569402,0.5499999999999998
us,PCE10,2009,1,36,2.1667444444444444,2.2,0.6046207380047404,0.815
us,PCE10,2009,2,42,2.2076190476190476,2.275,0.6646503189329014,0.7875000000000001
us,PCE10,2009,3,28,2.3090321428571428,2.1500000000000004,0.6250656848764399,0.5249999999999999
us,PCE10,2009,4,31,2.106045161290323,2.1,0.48952785881820843,0.5499999999999998
us,PCE10,2010,1,31,2.120461290322581,2.1,0.5360664378460437,0.5149999999999999
us,PCE10,2010,2,37,2.1615351351351353,2.15,0.6029481976165191,0.5999999999999999
us,PCE10,2010,3,30,2.1028566666666664,2.105,0.44344543161035277,0.675
us,PCE10,2010,4,36,2.191297222222222,2.0,0.7233782513757875,0.7249999999999999
us,PCE10,2011,1,34,2.084155882352941,2.1,0.5130080176532045,0.4750000000000001
us,PCE10,2011,2,31,2.396767741935484,2.2692,0.8175532016886715,0.5749999999999997
us,PCE10,2011,3,26,2.335253846153846,2.25,0.8006208062401422,0.5
us,PCE10,2011,4,36,2.2517666666666667,2.1550000000000002,0.5904909990846601,0.625
us,PCE10,2012,1,34,2.248770588235294,2.1500000000000004,0.7591781088301454,0.4750000000000001
us,PCE10,2012,2,32,2.20371875,2.2,0.46515530700734437,0.5655000000000001
us,PCE10,2012,3,39,2.2116974358974355,2.2,0.48264414617330403,0.5
us,PCE10,2012,4,33,2.1154,2.1,0.3732742515564126,0.4591000000000003
us,PCE10,2013,1,37,2.117286486486487,2.0,0.3989030675644301,0.5
us,PCE10,2013,2,36,2.0869805555555554,2.0,0.39491223243322915,0.5411249999999999
us,PCE10,2013,3,32,2.040375,2.0,0.3720879223187496,0.5624999999999998
us,PCE10,2013,4,36,2.033494444444444,2.0,0.33533123662129694,0.4999999999999998
us,PCE10,2014,1,37,2.0591891891891887,2.0,0.365335356429757,0.3999999999999999
us,PCE10,2014,2,37,2.054986486486486,2.0,0.31666183870193465,0.48119999999999985
us,PCE10,2014,3,36,2.048388888888889,2.0,0.3512143861174724,0.3999999999999999
us,PCE10,2014,4,33,2.0081333333333333,2.0,0.27974100931337664,0.3500000000000001
us,PCE10,2015,1,31,1.9428419354838713,2.0,0.26306301117690867,0.20694999999999997
us,PCE10,2015,2,36,2.0024388888888884,1.975,0.430164343529824,0.3180750000000001
us,PCE10,2015,3,34,2.0301323529411763,2.0,0.2842640500198536,0.40000000000000013
us,PCE10,2015,4,34,1.9791,1.9,0.3782856368279174,0.3274250000000001
us,PCE10,2016,1,34,1.9982441176470587,1.9729999999999999,0.25301192592705796,0.29015000000000013
us,PCE10,2016,2,34,2.062170588235294,2.0,0.3459015690516173,0.30000000000000027
us,PCE10,2016,3,31,2.004045161290323,2.0,0.3328676361946389,0.3473000000000004
us,PCE10,2016,4,31,2.0248129032258064,2.0,0.22770784314106748,0.3307500000000001
us,PCE10,2017,1,28,2.1931035714285714,2.1,0.4819601185914643,0.20000000000000018
us,PCE10,2017,2,28,2.110910714285714,2.0875000000000004,0.25316332210399306,0.2742500000000003
us,PCE10,2017,3,32,2.015421875,2.0,0.19823548677198488,0.2792499999999998
us,PCE10,2017,4,33,1.9958,2.0,0.1411056984143447,0.20000000000000018
us,PCE10,2018,1,31,2.069474193548387,2.0,0.21525405295099087,0.13500000000000023
us,PCE10,2018,2,29,2.101,2.0,0.24536563969483816,0.20000000000000018
us,PCE10,2018,3,29,2.0897275862068967,2.0,0.20670230991962418,0.10999999999999988
us,PCE10,2018,4,30,2.0792266666666666,2.005,0.15950968608214044,0.13999999999999968
us,PCE10,2019,1,30,2.0567799999999994,2.0,0.20190983375139812,0.1579250000000001
us,PCE10,2019,2,32,2.05563125,2.0,0.2955764891316956,0.125
us,PCE10,2019,3,27,2.031251851851852,2.0,0.2902004895430987,0.1399999999999999
us,PCE10,2019,4,27,1.9952407407407406,2.0,0.15231049829784518,0.17500000000000027
us,PCE10,2020,1,28,2.020567857142857,2.0,0.18721294085844528,0.2200000000000002
us,PCE10,2020,2,34,1.8655882352941178,1.865,0.26969332950336317,0.2875000000000001
us,PCE10,2020,3,27,1.887459259259259,1.85,0.2312427683014928,0.25
us,PCE10,2020,4,25,1.951952,1.9,0.15614443666042024,0.13749999999999996
us,PCE10,2021,1,29,2.069665517241379,2.0262,0.2050948043429499,0.20000000000000018
us,PCE10,2021,2,28,2.2082142857142855,2.1,0.30967191206451566,0.23249999999999993
us,PCE10,2021,3,28,2.2445464285714287,2.2,0.2364586354588658,0.355
us,PCE10,2021,4,27,2.3062,2.3,0.32216870401414516,0.5
us,PCE10,2022,1,25,2.250432,2.2,0.3550944460280955,0.3999999999999999
us,PCE10,2022,2,23,2.464052173913043,2.4,0.4545781549660433,0.30000000000000027
us,PCE10,2022,3,27,2.4824370370370366,2.45,0.4159880399058719,0.3500000000000001
us,PCE10,2022,4,26,2.613373076923077,2.575,0.39690590679171533,0.4500000000000002
us,PCE10,2023,1,27,2.228022222222222,2.15,0.2979883817215457,0.2027000000000001
us,PCE10,2023,2,27,2.189011111111111,2.2,0.22641827925211155,0.25
us,PCE10,2023,3,27,2.252062962962963,2.2,0.3184434246916471,0.19999999999999973
us,PCE10,2023,4,25,2.229956,2.22,0.21444148012919512,0.26439999999999975
us,PCE10,2024,1,27,2.033440740740741,2.0,0.15140685194143233,0.13000000000000012
us,PCE10,2024,2,28,2.1627392857142858,2.1,0.19804829066797808,0.12749999999999995
us,PCE10,2024,3,27,2.108677777777778,2.1,0.16155401176680423,0.14000000000000057
us,PCE10,2024,4,25,2.12908,2.1,0.17735435574013964,0.20000000000000018
us,PCE10,2025,1,31,2.195441935483871,2.11,0.28739428175034326,0.10000000000000009
us,PCE10,2025,2,29,2.2184655172413796,2.2,0.16743656853494884,0.1499999999999999
us,PCE10,2025,3,28,2.2372607142857146,2.2,0.2923689441623067,0.1625000000000001
us,PCE10,2025,4,26,2.2467346153846153,2.2,0.30065692201219346,0.20250000000000012
us,PCE10,2026,1,28,2.170364285714286,2.2,0.2200457986239762,0.20000000000000018
us,PCE10,2026,2,26,2.3450615384615388,2.21715,0.34614377599711144,0.1875
us,PCE10,2026,3,25,2.288868,2.2,0.24837419303676994,0.10969999999999969
us,RGDP10,1992,1,36,2.613888888888889,2.5,0.4605293710365297,0.5249999999999999
us,RGDP10,1993,1,31,2.8483870967741933,2.7,0.5679618342470647,0.5
